Top 96 unrecognized tokens (min-count=5, similarity>=0.72):

count  token                      nearest               value  ratio  example
--------------------------------------------------------------------------------------------------------------
  233  salary                     satar                   70   0.73   'received twenty five thousand salary'
  215  fees                       tees                    30   0.75   "Seventy-five thousand on my son's cricket ..."
  177  beer                       bees                    20   0.75   'Paanch sau ka dinner do sau beer fifty chi...'
  127  doodh                      doh                      2   0.75   'do hazaar kirana store ek sau doodh'
  120  thing                      tin                      3   0.75   'Spent, umm, three hundred on, uh, that, th...'
  106  chips                      chalis                  40   0.73   'five hundred petrol two hundred milk fifty...'
  104  paani                      paanch                   5   0.73   'seventy rupees for paani puri'
   81  train                      tin                      3   0.75   'twenty five train'
   76  card                       char                     4   0.75   'one hundred eighty for metro card recharge'
   64  then                       teen                     3   0.75   'I spent 200 on biryani then I mean 250'
   56  pass                       assi                    80   0.75   'six hundred fifty for bus pass'
   55  charger                    char                     4   0.73   'paid 1.5k for phone and 200 for charger'
   52  chaalis                    chalis                  40   0.92   'Chaalis ka coffee.'
   44  sofa                       sola                    16   0.75   '4 lakh 25 thousand for a new sofa'
   43  atta                       sattar                  70   0.80   '600 on atta and chawal'
   41  travel                     tiranve                 93   0.77   'Travel expense five hundred I mean five fifty'
   41  battis                     battees                 32   0.77   'battis sau ka doctor ka fee'
   40  this                       tis                     30   0.86   'got 1.5 lac salary this month'
   39  chhattis                   chhattees               36   0.82   'chhattis sau ka pizza delivery'
   36  ninyanve                   ninyanave               99   0.94   'paanch sau nau ninyanve on dinner'
   34  solar                      sola                    16   0.89   '2 lakh 20 thousand for solar panels'
   34  hair                       char                     4   0.75   'hundred fifty on hair oil'
   33  ghar                       char                     4   0.75   'Nau hazaar das ghar ka kharcha'
   32  test                       teis                    23   0.75   'Two hundred fifty for diabetes test.'
   27  bar                        bara                    12   0.86   'I spent eighty rupees on a candy bar.'
   26  charges                    char                     4   0.73   'Courier charges two hundred wait no two hu...'
   25  chaat                      chaar                    4   0.80   '450 on chaat and pani puri'
   24  cheh                       chheh                    6   0.89   'Cheh sau ninety five ka electric bill'
   24  paan                       paanch                   5   0.80   'Ten for a paan'
   22  cheese                     pachees                 25   0.77   '400/- for butter and cheese'
   22  thali                      chalis                  40   0.73   'five hundred and fifty on thali'
   21  anda                       pandra                  15   0.80   'Paanch sau ka doodh aur anda.'
   21  smart                      sat                      7   0.75   '1 lakh 5 thousand for a smart home setup'
   21  chawal                     chaar                    4   0.73   '600 on atta and chawal'
   20  lassi                      assi                    80   0.89   'paanch sau ka aloo paratha and lassi'
   20  trip                       tripan                  53   0.80   '1 lakh ten thousand for overseas trip flight'
   19  pachattar                  pachhattar              75   0.95   'Hazaar pachattar rupay ka gas cylinder'
   18  pachchis                   pachchees               25   0.82   'Pachchis sau ka heater'
   18  bills                      bis                     20   0.75   'Paid the standard monthly bills and DTH'
   18  soda                       sola                    16   0.75   'Twenty-five for a bottle of soda'
   17  pachis                     pachas                  50   0.83   'pachis rupay ka chai'
   16  ath                        sath                    60   0.86   'ath sau medicine'
   16  samaan                     satavan                 57   0.77   'chau sau rupay ka samaan'
   15  charge                     char                     4   0.80   'My daily metro charge.'
   14  attharah                   atharah                 18   0.93   'Attharah sau ke medicines'
   14  interest                   taintees                33   0.75   'savings account interest 450'
   12  chair                      char                     4   0.89   '1.2 lakh for office chair and desk'
   12  sattais                    sattasi                 87   0.86   'sattais rupay ka tel'
   12  charity                    char                     4   0.73   'gyarah sau donation do sau charity'
   12  chain                      chalis                  40   0.73   'paid seventy five thousand for a gold chain'
   11  sava                       saat                     7   0.75   'sava sau ka cold drink'
   11  laakh                      solaah                  16   0.73   'Ek laakh pachaas hazaar for down payment'
   10  nabbey                     nabbe                   90   0.91   'nabbey sau ka paint'
   10  pach                       panch                    5   0.89   'paanch hazaar pachās rupay ka TV'
   10  chh                        chhe                     6   0.86   'chh sau ka haircut'
   10  chau                       chauda                  14   0.80   'chau sau ka blood pressure machine'
   10  paint                      paintees                35   0.77   'nabbey sau ka paint'
